protein,chain,group,group1,group1,group1,group1,group1,group1,group_old,group3,group1,group6,group4,,protein2,#amino acids,#keys,#keys_with_freq,,percent_threshold,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1
1GWX,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,26,1GWX,270,722442,3244140,,100,95,90,85,80,75,70,65,60,55,50
1Y0S,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,145,1Y0S,260,691686,2895620,,100,95,90,85,80,75,70,65,60,55,50
2AWH,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,178,2AWH,254,653980,2699004,,100,95,90,85,80,75,70,65,60,55,50
2B50,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,186,2B50,261,676838,2929290,,100,95,90,85,80,75,70,65,60,55,50
2BAW,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,187,2BAW,250,635998,2573000,,100,95,90,85,80,75,70,65,60,55,50
2GWX,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,218,2GWX,265,692212,3066580,,100,95,90,85,80,75,70,65,60,55,50
2J14,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,243,2J14,253,636891,2667126,,100,95,90,85,80,75,70,65,60,55,50
2Q5G,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,296,2Q5G,244,637964,2391444,,100,95,90,85,80,75,70,65,60,55,50
2XYJ,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,359,2XYJ,263,696978,2997411,,100,95,90,85,80,75,70,65,60,55,50
2XYW,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,362,2XYW,263,688429,2997411,,100,95,90,85,80,75,70,65,60,55,50
2XYX,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,363,2XYX,261,682948,2929290,,100,95,90,85,80,75,70,65,60,55,50
2ZNP,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,411,2ZNP,259,662479,2862209,,100,95,90,85,80,75,70,65,60,55,50
2ZNQ,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,412,2ZNQ,262,688074,2963220,,100,95,90,85,80,75,70,65,60,55,50
3D5F,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,477,3D5F,254,657823,2699004,,100,95,90,85,80,75,70,65,60,55,50
3DY6,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,487,3DY6,257,677203,2796160,,100,95,90,85,80,75,70,65,60,55,50
3ET2,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,492,3ET2,266,704889,3101560,,100,95,90,85,80,75,70,65,60,55,50
3GWX,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,521,3GWX,270,723983,3244140,,100,95,90,85,80,75,70,65,60,55,50
3GZ9,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,522,3GZ9,262,685302,2963220,,100,95,90,85,80,75,70,65,60,55,50
3OZ0,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,643,3OZ0,260,703667,2895620,,100,95,90,85,80,75,70,65,60,55,50
3PEQ,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,653,3PEQ,255,667227,2731135,,100,95,90,85,80,75,70,65,60,55,50
3SP9,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,688,3SP9,269,709038,3208094,,100,95,90,85,80,75,70,65,60,55,50
3TKM,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,702,3TKM,270,744181,3244140,,100,95,90,85,80,75,70,65,60,55,50
5U3Q,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1375,5U3Q,265,696233,3066580,,100,95,90,85,80,75,70,65,60,55,50
5U3R,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1376,5U3R,270,717240,3244140,,100,95,90,85,80,75,70,65,60,55,50
5U3S,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1377,5U3S,271,721872,3280455,,100,95,90,85,80,75,70,65,60,55,50
5U3T,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1378,5U3T,270,710887,3244140,,100,95,90,85,80,75,70,65,60,55,50
5U3U,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1379,5U3U,255,668134,2731135,,100,95,90,85,80,75,70,65,60,55,50
5U3V,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1380,5U3V,262,678230,2963220,,100,95,90,85,80,75,70,65,60,55,50
5U3W,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1381,5U3W,266,699504,3101560,,100,95,90,85,80,75,70,65,60,55,50
5U3X,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1382,5U3X,262,687118,2963220,,100,95,90,85,80,75,70,65,60,55,50
5U3Y,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1383,5U3Y,263,695221,2997411,,100,95,90,85,80,75,70,65,60,55,50
5U3Z,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1384,5U3Z,268,703000,3172316,,100,95,90,85,80,75,70,65,60,55,50
5U40,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1385,5U40,257,670798,2796160,,100,95,90,85,80,75,70,65,60,55,50
5U41,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1386,5U41,260,677401,2895620,,100,95,90,85,80,75,70,65,60,55,50
5U42,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1387,5U42,271,722803,3280455,,100,95,90,85,80,75,70,65,60,55,50
5U43,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1388,5U43,266,704317,3101560,,100,95,90,85,80,75,70,65,60,55,50
5U44,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1389,5U44,257,661512,2796160,,100,95,90,85,80,75,70,65,60,55,50
5U45,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1390,5U45,262,686309,2963220,,100,95,90,85,80,75,70,65,60,55,50
5U46,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1391,5U46,264,698433,3031864,,100,95,90,85,80,75,70,65,60,55,50
5XMX,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1435,5XMX,257,676653,2796160,,100,95,90,85,80,75,70,65,60,55,50
5Y7X,A,PPAR_D,PPAR_D,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1449,5Y7X,258,677789,2829056,,100,95,90,85,80,75,70,65,60,55,50
1I7I,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,30,1I7I,258,607963,2829056,,100,95,90,85,80,75,70,65,60,55,50
1KNU,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,38,1KNU,265,637403,3066580,,100,95,90,85,80,75,70,65,60,55,50
1NYX,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,57,1NYX,260,630568,2895620,,100,95,90,85,80,75,70,65,60,55,50
1PRG,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,70,1PRG,270,648686,3244140,,100,95,90,85,80,75,70,65,60,55,50
1WM0,X,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,121,1WM0,272,664833,3317040,,100,95,90,85,80,75,70,65,60,55,50
1ZEO,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,156,1ZEO,263,624463,2997411,,100,95,90,85,80,75,70,65,60,55,50
1ZGY,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,158,1ZGY,272,643944,3317040,,100,95,90,85,80,75,70,65,60,55,50
2ATH,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,177,2ATH,271,637416,3280455,,100,95,90,85,80,75,70,65,60,55,50
2F4B,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,202,2F4B,271,636454,3280455,,100,95,90,85,80,75,70,65,60,55,50
2FVJ,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,206,2FVJ,258,606898,2829056,,100,95,90,85,80,75,70,65,60,55,50
2G0G,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,207,2G0G,271,639245,3280455,,100,95,90,85,80,75,70,65,60,55,50
2G0H,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,208,2G0H,271,636348,3280455,,100,95,90,85,80,75,70,65,60,55,50
2GTK,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,217,2GTK,258,606489,2829056,,100,95,90,85,80,75,70,65,60,55,50
2HFP,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,227,2HFP,272,638503,3317040,,100,95,90,85,80,75,70,65,60,55,50
2HWQ,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,229,2HWQ,261,616758,2929290,,100,95,90,85,80,75,70,65,60,55,50
2HWR,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,230,2HWR,261,619558,2929290,,100,95,90,85,80,75,70,65,60,55,50
2I4J,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,234,2I4J,270,647707,3244140,,100,95,90,85,80,75,70,65,60,55,50
2I4P,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,235,2I4P,270,646852,3244140,,100,95,90,85,80,75,70,65,60,55,50
2I4Z,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,236,2I4Z,270,648460,3244140,,100,95,90,85,80,75,70,65,60,55,50
2OM9,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,260,2OM9,270,636422,3244140,,100,95,90,85,80,75,70,65,60,55,50
2P4Y,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,270,2P4Y,244,581385,2391444,,100,95,90,85,80,75,70,65,60,55,50
2POB,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,290,2POB,255,597990,2731135,,100,95,90,85,80,75,70,65,60,55,50
2PRG,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,292,2PRG,271,641059,3280455,,100,95,90,85,80,75,70,65,60,55,50
2Q59,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,295,2Q59,254,580839,2699004,,100,95,90,85,80,75,70,65,60,55,50
2Q5P,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,297,2Q5P,256,602193,2763520,,100,95,90,85,80,75,70,65,60,55,50
2Q5S,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,298,2Q5S,256,602266,2763520,,100,95,90,85,80,75,70,65,60,55,50
2Q61,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,299,2Q61,256,599065,2763520,,100,95,90,85,80,75,70,65,60,55,50
2Q6R,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,301,2Q6R,235,549204,2135445,,100,95,90,85,80,75,70,65,60,55,50
2Q6S,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,302,2Q6S,254,600811,2699004,,100,95,90,85,80,75,70,65,60,55,50
2Q8S,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,308,2Q8S,253,601122,2667126,,100,95,90,85,80,75,70,65,60,55,50
2QMV,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,316,2QMV,270,644957,3244140,,100,95,90,85,80,75,70,65,60,55,50
2VSR,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,336,2VSR,257,608522,2796160,,100,95,90,85,80,75,70,65,60,55,50
2VST,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,337,2VST,260,627156,2895620,,100,95,90,85,80,75,70,65,60,55,50
2VV0,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,339,2VV0,259,630957,2862209,,100,95,90,85,80,75,70,65,60,55,50
2VV1,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,340,2VV1,256,613101,2763520,,100,95,90,85,80,75,70,65,60,55,50
2VV2,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,341,2VV2,256,608593,2763520,,100,95,90,85,80,75,70,65,60,55,50
2VV3,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,342,2VV3,257,606523,2796160,,100,95,90,85,80,75,70,65,60,55,50
2VV4,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,343,2VV4,254,613864,2699004,,100,95,90,85,80,75,70,65,60,55,50
2XKW,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,354,2XKW,261,629211,2929290,,100,95,90,85,80,75,70,65,60,55,50
2YFE,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,381,2YFE,264,640716,3031864,,100,95,90,85,80,75,70,65,60,55,50
2ZK0,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,395,2ZK0,270,639140,3244140,,100,95,90,85,80,75,70,65,60,55,50
2ZK1,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,396,2ZK1,274,660557,3391024,,100,95,90,85,80,75,70,65,60,55,50
2ZK2,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,397,2ZK2,274,658699,3391024,,100,95,90,85,80,75,70,65,60,55,50
2ZK3,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,398,2ZK3,274,658643,3391024,,100,95,90,85,80,75,70,65,60,55,50
2ZK4,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,399,2ZK4,274,660133,3391024,,100,95,90,85,80,75,70,65,60,55,50
2ZK5,A,PPAR_R,PPAR_R,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,400,2ZK5,274,660226,3391024,,100,95,90,85,80,75,70,65,60,55,50
